position,special_char,upper_case,numeral,aggregate,length,significance,freq_score,proper_noun,noun,verb,named_entity,cue_phrases,centrality
0.8,0,0,1,0.24,0.018456376,594.12,10,0,3,4,2,0.02,0.016057144
0.8,0,1,0,0.27,0.021812081,811.66,11,1,7,4,1,0,0.015893509
0.8,0,0,2,0.28,0.058724832,683.17,33,0,15,11,8,0.02,0.013296052
0.8,0,0,0,0.28,0.016778523,899.95,10,0,3,4,1,0.01,0.013394854
0.79,0,0,0,0.33,0.038590604,588.34,20,0,13,7,0,0.01,0.009605318
0.79,0,1,1,0.28,0.030201342,758.68,18,0,13,2,2,0.05,0.014043229
0.79,0,0,1,0.26,0.016778523,585.2,9,0,5,4,1,0.03,0.015262101
0.79,0,0,3,0.33,0.035234899,662.83,20,0,11,7,4,0.04,0.01235656
0.79,0,1,1,0.24,0.013422819,800.77,8,0,4,2,1,0,0.017113014
0.79,0,1,5,0.26,0.043624161,594.76,23,0,18,6,6,0.01,0.014927057
0.78,0,1,2,0.35,0.033557047,639.39,20,1,11,6,4,0.02,0.010448166
0.78,0,1,2,0.27,0.033557047,554.06,19,0,11,5,2,0.03,0.015625525
0.78,0,1,0,0.11,0.021812081,508.21,11,0,6,1,4,0,0.008954994
0.78,0,1,8,0.27,0.073825503,719.49,43,0,27,7,19,0,0.01475864
0.78,0,0,4,0.33,0.026845638,612.49,15,0,9,5,5,0.02,0.011944476
0.78,0,0,2,0.34,0.025167785,455.8,13,0,9,2,3,0.02,0.010820607
0.78,0,1,1,0.18,0.010067114,498.06,6,0,5,2,1,0.04,0.015217753
0.77,0,1,2,0.25,0.018456376,470.04,8,0,9,2,2,0.01,0.016221632
0.77,4,2,3,0.27,0.025167785,247.3,11,0,12,4,3,0,0.015555403
0.77,0,0,4,0.31,0.021812081,678.55,13,0,10,4,5,0.01,0.013022483
0.77,0,1,2,0.25,0.023489933,500.52,11,2,10,3,7,0.03,0.015828315
0.77,0,1,3,0.29,0.041946309,468.19,23,0,17,6,5,0,0.014147762
0.77,0,0,1,0.26,0.031879195,624.91,19,0,8,5,2,0.02,0.015237885
